Stats,Percentage Return,Absolute Return
Capital,1000000,
Total Trades,248,
Profitable Trades,240,
Losing Trades,8,
Hit Ratio,97.00%,
Risk Reward,12:00.0,
Calmar ratio,25.27,
Avg Return Per Trade,19.73%,197.27
Avg Profit Per Trade,22.89%,228.93
Avg Loss Per Trade,-0.08%,-752.44
Max Profit Per Trade,0.05%,525.35
Max Loss Per Trade,-0.09%,-905
Avg Return Per Month,0.41%,4125.01
Avg Return Per Year,4.95%,49500.13
Total Return,4.89%,48924.15
CAGR Return,5.00%,
Max Drawdown,-0.19%,1935.8
